Herdenimmunität tritt auf, wenn...;es gibt genügend geimpfte Personen, um die Zirkulation eines Virus zu blockieren (nicht 100%);100 % der Menschen sind geimpft;mehr als 50% der Menschen sind geimpft
Können Sie sich mit den getroffenen Schutzmassnahmen auch vor anderen Atemwegsviren wie Grippe oder Erkältung schützen?;Richtig;Falsch;
Welches Reinigungsmittel entfernt Covid-19 von unbelebten Oberflächen?;Klassisches Reinigungsprodukt oder Desinfektionsmittel;100 % Ethanol;86 % Ethanol
Die Maske verbirgt sich...;die Nase, den Mund und das Kinn;den Mund.;die Nase und den Mund
Wenn sich die Maske aus ihrer richtigen Position bewegt hat, dann…;müssen Sie es mit desinfizierten Händen gut unterbringen;müssen Sie es nicht berühren;müssen Sie es anders unterbringen
Das Tragen von Handschuhen im Alltag schützt mich vor dem Virus?;Nein;Ja
Um mir die Nase zu putzen,...;ich habe ein Taschentuch für meinen persönlichen Gebrauch;ich kann mein Taschentuch mit jemandem teilen, der sich in meiner persönlichen Blase befindet;jede Art von Schal ist nützlich
Die Verwendung einer Maske an Orten, an denen dies nicht vorgeschrieben ist, ist sinnvoll...;um die Projektionen von Postillons und persönlichen Nasensekreten in die Umgebung zu begrenzen;um die Projektionen anderer zu begrenzen;um die Projektionen anderer und unserer zu begrenzen
Die Maske dient nur dem Schutz der Menschen um mich herum?;Falsch. Die Maske ist gleichermaßen in der Lage, die erhaltene Viruslast zu senken und damit die Schwere der Symptome bei einer Ansteckung mit dem Virus zu reduzieren;Richtig;
Bei welcher Temperatur sollten wiederverwendbare Masken gewaschen werden?;Bei mindestens 56C;Bei mindestens 60C;Bei mindestens 100 C
Wie lange müssen wiederverwendbare Masken gewaschen werden?;30 Minuten mindestens;45 Minuten mindestens;1 Stunde mindestens
Welche Ethanolkonzentration ist für ein Reinigungsmittel am effektivsten?;70%;95%;100%
Wie würden Sie eine 4-Liter-Flasche Händedesinfektionsmittel mit nur einer 3-Liter-Flasche und einer 5-Liter-Flasche vorbereiten?;Lösung 1;Lösung 2
Was ist das effektivste Reinigungsmittel?;70 % Ethanol;85 % Ethanol;Chloroform zu 92%
Welche essentielle Droge für die Medizin ist ab Beginn von Covid-19 schnell knapp geworden?;Hydrochloroquinsulfat;Hydrochloroquinsulfi;Chlorwasserstoffsulfit
Kann das Virus auf dem Papier überleben?;Ja;Nein
Bietet das Tragen einer Brille im Alltag einen zusätzlichen Schutz vor dem Virus?;Nein;Ja
Kann das Virus durch Blut übertragen werden?;Ja;Nein
Die Leute, die ihre Masken auf den Boden werfen, wovor haben sie Angst?;Dass der Mülleimer auf ihren Fressen niest;Ihre Freiheit zu verlieren;Identifiziert zu werden
Wem sollte das Aufsetzen der Maske schwerer fallen?;Voldemort;Kim Kardashian;Thanos
Wie heißt eine Person, die einen Zusatz zu hydroalkoholischem Gel hat?;Eine hydroalkoholische Person;Eine verrückte Person;Eine süchtige Person
Vitamin D...;hilft, das Risiko einer akuten viralen Atemwegsinfektion zu verringern;hilft gegen Verdauungsprobleme;hilft, das Herzsystem zu stärken
Wie vermeide ich mein Gesicht zu berühren und dadurch eine Virusinfektion zu bekommen?;Ich soll nur einfach ein Bier in jeder Hand halten;Ich soll mich an einem Seil festbinden;Ich soll meine Hände schneiden
Vor Covid-19 hätten wir niesen müssen, um einen Furz zu verstecken. Während der Pandemie, hätten wir eher...;furzen, um ein Niesen zu verbergen;Musik gespielt, um den Furz zu verstecken;gesprungen, um die beiden zu verstecken
Hat die Grippeimpfung dazu beigetragen, die Schwere der Covid-19-Fälle zu verringern?;Ja;Nein
Das Virus kann bestehen bleiben __ bei Aerosolen;3 Std;2 Std;4 Std
Nachdem Sie sich die Nase geputzt haben,...;Sie müssen das Taschentuch in den entsprechenden Müll werfen, ohne zu vergessen, Ihre Hände zu waschen oder zu desinfizieren;Sie müssen das Taschentuch in den Müll werfen, ohne zu vergessen, sich die Hände zu waschen.;Sie müssen das Taschentuch in den entsprechenden Mülleimer werfen
Warum lässt die Verwendung von Masken keine klare Rede zu?;Weil die Maske die Schallfrequenzen reduziert;Weil die Maske als Schallmauer fungiert;Weil die Maske den Luftstrom, der aus der Lunge kommt, unterbricht
Vitamin E...;stärkt das Immunsystem;schützt den Körper vor Krankheitserregern;unterstützt einen Atemschutzmechanismus
Vitamin C...;unterstützt einen Atemschutzmechanismus;schützt den Körper vor Krankheitserregern;stärkt das Immunsystem
